P10231,2024,1,3,5,45.50
P10231,2024,1,7,12,45.50
P10231,2024,1,10,8,45.50
P10231,2024,1,18,15,45.50
P10231,2024,1,25,20,45.50
P30215,2024,1,2,30,18.75
P30215,2024,1,5,25,18.75
P30215,2024,1,8,50,18.75
P30215,2024,1,12,40,18.75
P30215,2024,1,14,35,18.75
P30215,2024,1,16,20,18.75
P30215,2024,1,20,45,18.75
P30215,2024,1,22,60,18.75
P30215,2024,1,28,15,18.75
P20145,2024,1,4,200,12.30
P20145,2024,1,19,150,12.30
P20145,2024,1,27,120,12.30
P45678,2024,1,6,80,25.00
P45678,2024,1,11,90,25.00
P45678,2024,1,17,110,25.00
P45678,2024,1,23,75,25.00
P99001,2024,1,9,500,3.20
P99001,2024,1,15,300,3.20
P99001,2024,1,21,450,3.20
P12345,2024,1,1,60,8.50
P12345,2024,1,5,70,8.50
P12345,2024,1,13,55,8.50
P12345,2024,1,16,65,8.50
P12345,2024,1,24,80,8.50
P12345,2024,1,29,90,8.50
